No.,Comment,Article URL,Platform,Pre-Sales-Sales-sales/Post-sales,Intent To Buy (Yes/ No/NA),Conversation Drivers (Product Attributes/ Pricing/ Experience of Using Product/ Customer Service/ Other),Sentiment (Positive/ Neutral/ Negative),Enquiry/ Compaint/ Praise/Other,Notes
46,Tip: Putting your phone in airplane mode will stop ads while playing games. @LENOVO_A6000,http://twitter.com/pk4323/statuses/581697722010357760,TWITTER,Post-sales,No,Experience ,Neutral,Other (Phone tip),
47,Lenovo S650 Rs. 6649 ‰ÛÒåÊAmazon http://t.co/uKDVipjL99,http://twitter.com/savemoney_india/statuses/581693113623674880,TWITTER,,,,Neutral,,
48,@Lenovo_in When i was booking my Lenovo A6000 on Flipkart app battery died. :-) #Phoneyfails,http://twitter.com/pateldipesh/statuses/581683327721078784,TWITTER,Pre-sales,Yes,Experience,Positive,Complaint,
49,#FlipkartDeal Discount: FREE charging case Lenovo Vibe X2 http://t.co/tbPC6CrHHS http://t.co/seGe6irVlG,http://twitter.com/indiaOnDeals/statuses/581682979019214849,TWITTER,,,,Neutral,,
50,We‰Ûªve all had our phone‰Ûªs batteries die when it was needed the most.Tell us about some of your funniest #PhoneyFails! http://t.co/417jk8k52l,http://twitter.com/Lenovo_in/statuses/581682127449808896,TWITTER,,,,Neutral,,
51,RT @pateldipesh Super battery life of @Lenovo_in A6000. http://t.co/VV2O3X5wao,http://twitter.com/s_anuj/statuses/581675816196534272,TWITTER,,,,Neutral,,
52,Super battery life of @Lenovo_in A6000. http://t.co/VV2O3X5wao,http://twitter.com/pateldipesh/statuses/581675066301161472,TWITTER,Post-sales,No,Product Attributes,Neutral,Praise,
53,TechoTweet: Lenovo A6000 : Cheapest 4G Phone http://t.co/Arc7UKbt6k,http://twitter.com/TheTechoTweet/statuses/581664044702007296,TWITTER,,,,Neutral,,
54,TechoTweet: Lenovo S90 Selfie 4G : Selfie Lovers Will Love It http://t.co/0hltOJqD8g,http://twitter.com/TheTechoTweet/statuses/581663797888167936,TWITTER,,,,Positive,,
55,RT @IndianExpress #Flipkart Big App offer: #lenovo cuts price of Vibe X2 and Z2; A6000 phone available without registration | READ http://t.co/c2gSdXHvkC,http://twitter.com/tanmay_kumar1/statuses/581570429980004352,TWITTER,,,,Neutral,,
56,"Lenovo S650 Rs. 6649 ‰ÛÒ Amazon ~ SavingBaba India - Online Shopping Deals, Offers, Discounts,... http://t.co/AjqZGl0XdE",http://twitter.com/SavingBaba/statuses/581560279474950147,TWITTER,,,,Neutral,,
57,http://t.co/KeMeEyeVXn Lenovo's A6000 smartphone sale to start without registration from March 23 to ...: NEW DELHI: Len...  Pune Computer,http://twitter.com/punenetworklal/statuses/581545646873657344,TWITTER,,,,Neutral,,
58,#lowlight #camera #test with my new #lenovo #A6000 #new#tech #new #phone #amazing #results #better‰Û_ https://t.co/1akfT5iY8B,http://twitter.com/reflejar/statuses/581542783665606656,TWITTER,Post-sales,No,"Product Attributes, Experience",Positive,Praise,
59,Lenovo's A6000 smartphone sale to start without registration from March 23 to ... - Customs Today Newspaper http://t.co/vKs7xPx9xI,http://twitter.com/nikhildaiya/statuses/581535040741335041,TWITTER,,,,Neutral,,
60,Lenovo's A6000 smartphone sale to start without registration from March 23 to ... - Customs Today Newspaper: C... http://t.co/GBCC4jp9A7,http://twitter.com/rahul_sr/statuses/581534265789173760,TWITTER,,,,Neutral,,
61,Lenovo A6000 Picture Gallery: Lenovo A6000 comes withåÊ5‰Û_ HD display powered by 1.2 GHz Quad C... http://t.co/jb3D94dPeo via @AndroidPure,http://twitter.com/AndroidPure/statuses/581531457790701568,TWITTER,,,,Neutral,,
62,Lenovo A6000 Picture Gallery http://t.co/VVCqdd0iCo,http://twitter.com/avinashiitd/statuses/581527639082577920,TWITTER,,,,Neutral,,
63,RT @tellychakkar .@ranbirkapoor is already a superstar - @arjunk26 ‰ÛÜ  http://t.co/GQNVLSbNcv  @LENOVO_A6000,http://twitter.com/jkaur94/statuses/581490691685023744,TWITTER,,,,Neutral,,
64,@chetanbhawani compare this phone xiaomi note 4g yureka Lenovo a6000 or Huawei honor 4x,http://twitter.com/1andonlyshayan/statuses/581476937521975296,TWITTER,,,,Neutral,,
65,@iGyaan I have lenovo a6000 I just want to say #bakwas hai ye phone,http://twitter.com/TheMithun/statuses/581464461866745857,TWITTER,NA,NA,NA,Neutral,Need to find out - in Hindi,
66,RT @nayanazariya Lenovo A7000 expected to be launched in a event on Apirl 7 by Lenovo India http://t.co/SzZCjYS1x4 #Lenovo #lenovoIndia #a7000 #a6000,http://twitter.com/NidhiMandloi/statuses/581458276841181184,TWITTER,,,,Neutral,,
67,AMazon: Buy Lenovo S650 Mobile at Rs.6649 only http://t.co/pXFtiao8Pg,http://twitter.com/buytoearn/statuses/581454463556325376,TWITTER,,,,Neutral,,
68,.@ranbirkapoor is already a superstar - @arjunk26 ‰ÛÜ  http://t.co/GQNVLSbNcv  @LENOVO_A6000,http://twitter.com/tellychakkar/statuses/581452211697270784,TWITTER,,,,Neutral,,
69,"Lenovo Vibe X2 4G for just Rs. 17,999 @ #FLIPKART.COM http://t.co/hxZZgu3LGQ #deals #flipkartdeals",http://twitter.com/SeeCoupons/statuses/581449662432952320,TWITTER,,,,Neutral,,
70,"@OnlyPrions Hey there, the update is currently under testing and development, but the A6000 will surely receive the Lolliop upgrade.",http://twitter.com/Lenovo_in/statuses/581444685148868608,TWITTER,,,,Neutral,,
71,RT @Lenovo_in Here's a special chance to own an A6000! Book yours NOW @Flipkart here- http://t.co/gS16bI6J3u http://t.co/PxARrsmBhC,http://twitter.com/s_anuj/statuses/581443736103600128,TWITTER,,,,Neutral,,
72,@Lenovo_in When is lollipop going to be available for lenovo A6000?,http://twitter.com/OnlyPrions/statuses/581439952476499968,TWITTER,Post-sales,No,Product Attributes (Software),Neutral,Enquiry,
73,TechoTweet: Lenovo A6000 : Cheapest 4G Phone http://t.co/Arc7UKbt6k,http://twitter.com/TheTechoTweet/statuses/581434321749209088,TWITTER,,,,Neutral,,
74,TechoTweet: Lenovo S90 Selfie 4G : Selfie Lovers Will Love It http://t.co/0hltOJqD8g,http://twitter.com/TheTechoTweet/statuses/581434080027246592,TWITTER,,,,Positive,,
75,Lenovo A6000 Smartphone Now Available WithoutåÊRegistrations http://t.co/aQpq3c2ooZ,http://twitter.com/rahul_pahwa/statuses/581420965684326400,TWITTER,,,,Neutral,,
76,Lenovo A6000 Smartphone Now Available Without Registrations http://t.co/aQpq3c2ooZ http://t.co/hUWhWJIenm,http://twitter.com/rahul_pahwa/statuses/581420940510117889,TWITTER,,,,Neutral,,
77,@Vadirocks @cinemascopetaml @8atttu @ArunbuddyAP http://t.co/Wa1XBJhH7f,http://twitter.com/halovivek/statuses/581404182885703680,TWITTER,,,,Neutral,,
78,"Amazon: Buy Lenovo A369i (Black) Andrid Mobile(4 GB, Dual Core) at Rs.3495 only http://t.co/Mc10wISRCR",http://twitter.com/buytoearn/statuses/581397230822813696,TWITTER,,,,Neutral,,
79,#deals #Lenovo A536 White is selling cheaper at INR 6758 today http://t.co/5iEmHRP4dK #flipkart,http://twitter.com/pricetrak/statuses/581389246226767872,TWITTER,,,,Neutral,,
80,AMazon: Buy Lenovo S650 Mobile at Rs.6649 only http://t.co/pXFtiao8Pg,http://twitter.com/buytoearn/statuses/581382882863742976,TWITTER,,,,Neutral,,
81,SnapDeal ‰ÛÒ Lenovo S650 Rs.åÊ6649 http://t.co/Doq8RfdLpC,http://twitter.com/Zeal4Dealsindia/statuses/581378788040183808,TWITTER,,,,Neutral,,
82,"RT @Lenovo_VIBE All the excitement, fear, and emotion of the cinema, all on your phone. The Lenovo #A6000, popcorn not included. http://t.co/CwOdrhWmV2",http://twitter.com/sathishmechy1/statuses/581372218241843201,TWITTER,,,,Negative,,
83,RT @Lenovo_in Here's a special chance to own an A6000! Book yours NOW @Flipkart here- http://t.co/gS16bI6J3u http://t.co/PxARrsmBhC,http://twitter.com/sponns/statuses/581346729523462144,TWITTER,,,,Neutral,,
84,Lenovo A6000 (Valid on Mobile Apps) for Rs 6299 - http://t.co/ndg4mV5ACf,http://twitter.com/Dealsmasti/statuses/581328763776036864,TWITTER,,,,Neutral,,
85,@007himanshurai Babita for reviewing Oneplus One Mitali for reviewing Moto G Vishal for reviewing Zenfone 4 Hemant for reviewing lenovo s650,http://twitter.com/priceraja/statuses/581325446064766976,TWITTER,,,,Neutral,,
86,I added a video to a @YouTube playlist http://t.co/2ptceT90o3 Lenovo S580 Android Phones,http://twitter.com/priceghar/statuses/581323065579061248,TWITTER,,,,Neutral,,
87,"Lenovo A6000 (Black) | Rs 6,999 [ Not a Flash Sale ] | http://t.co/E8YI0jJfKC",http://twitter.com/FlipHotDeals/statuses/581319616556724224,TWITTER,,,,Neutral,,
88,Lenovo A6000 (Valid on Mobile Apps) -- Flipkart -- Rs. 6299.0 -- Mobiles & Mobile Accessories http://t.co/mTxti9Eph7 #Deals #Offers,http://twitter.com/OnlineDealsIN/statuses/581311718841720835,TWITTER,,,,Neutral,,
89,http://t.co/LQn3rKYxVo  : Lenovo A369i (Black).åÊDeal of the dayåÊ: Check Offer Price http://t.co/Drgq9MqLQI,http://twitter.com/Electronics56/statuses/581308106178691072,TWITTER,,,,Neutral,,
90,"@Lenovo_in lenovo a6000 after thesystem  update , phone is hanging. stupid update,b4 it was fine...make required correct updates and test",http://twitter.com/manusg8/statuses/581282401390698496,TWITTER,Post-sales,No,"Product Attributes (Software), Experience",Negative,Complaint,
91,"Lenovo S850 (White) for just Rs. 11,389.00 @ #AMAZON.IN http://t.co/woVMASMwzL #amazondeals #deals",http://twitter.com/SeeCoupons/statuses/581275288522395649,TWITTER,,,,Neutral,,
92,"Lenovo A859 (White) for just Rs. 8,240.00 @ #AMAZON.IN http://t.co/HwmPfvz1mF #amazondeals #deals",http://twitter.com/SeeCoupons/statuses/581275057546260481,TWITTER,,,,Neutral,,
93,#deals #Lenovo S860 Titanium is selling cheaper by 3% at INR 15000 today http://t.co/vGRMfln7G1 #flipkart,http://twitter.com/pricetrak/statuses/581271691315146752,TWITTER,,,,Neutral,,
94,#deals #Lenovo A536 White is selling cheaper by 2% at INR 6759 today http://t.co/5iEmHRP4dK #flipkart,http://twitter.com/pricetrak/statuses/581268511219044352,TWITTER,,,,Neutral,,
95,"Lenovo S650 (Silver) for just Rs. 6,649.00 @ #AMAZON.IN http://t.co/CKZSaMgby2 #amazondeals #deals",http://twitter.com/SeeCoupons/statuses/581266652630814722,TWITTER,,,,Neutral,,
96,http://t.co/SSlG5fZaiE  Lenovo A369i (Black).åÊDeal of the dayåÊ: Check Offer Price http://t.co/2eAUt67e32,http://twitter.com/Electronics56/statuses/581260259240648704,TWITTER,,,,Neutral,,
97,http://t.co/LN7FELGOJR  Lenovo A369i (Black).åÊDeal of the dayåÊ: Check Offer Price http://t.co/jFVqJ8uU59,http://twitter.com/Electronics56/statuses/581196931701039104,TWITTER,,,,Neutral,,
98,Crossover Camera Phones - Lenovo's VIBE Shot is a Handy 2-in-1 Camera and Smartphone (Tren‰Û_ http://t.co/qrlogjcxBD http://t.co/MkMUSx9QHC,http://twitter.com/the_pixelist/statuses/581188296929337345,TWITTER,,,,Neutral,,
99,"Buy Lenovo A6000 Mobile (4G LTE Support, 64-Bit SoC) at Rs. 6999 only, extra 10% discount with Visa Debit Cards http://t.co/bmsL74Hi0r",http://twitter.com/buytoearn/statuses/581180901167644672,TWITTER,,,,Neutral,,
100,"Amazon: Buy Lenovo A369i (Black) Andrid Mobile(4 GB, Dual Core) at Rs.3541 only http://t.co/Mc10wISRCR",http://twitter.com/buytoearn/statuses/581169624521269249,TWITTER,,,,Neutral,,
101,"RT @LENOVO_A6000 #IWILLSCOREA6000 T&C - AGREEMENT TO TERMS & CONDITIONS: By participating in Contest, you fully and... http://t.co/A2CtTJYBj4",http://twitter.com/hadirhagag1/statuses/581122249123577856,TWITTER,,,,Neutral,,
102,Lenovo A7000 expected to be launched in a event on Apirl 7 by Lenovo India http://t.co/SzZCjYS1x4 #Lenovo #lenovoIndia #a7000 #a6000,http://twitter.com/nayanazariya/statuses/581093430685728769,TWITTER,,,,Neutral,,
103,http://t.co/1W6HmAPBO9  Lenovo A369i (Black).åÊDeal of the dayåÊ: Check Offer Price http://t.co/fmIUW6ZICm,http://twitter.com/Electronics56/statuses/581089908422524930,TWITTER,,,,Neutral,,
104,I like a blog Top Smartphones to buy below 15k- Lenovo S850 on http://t.co/ofnPDeUEtJ #Gadgets  http://t.co/b5cHlgnLf2 via @itimestweets,http://twitter.com/KrishKrishnans/statuses/581079648018280450,TWITTER,,,,Neutral,,
105,Lenovo to launch A7000 smartphone in India on April 7 - Lenovo to launch A7000 smartphone in India on April... http://t.co/4InOtRUXv6,http://twitter.com/recentnewshead/statuses/581075024532115456,TWITTER,,,,Neutral,,
106,RT @LenovoMobilePH Let the show go on. And on. And on with the Lenovo S860! http://t.co/15sCwtr68F,http://twitter.com/saahilsinha84/statuses/581073982847262721,TWITTER,,,,Neutral,,
107,Check out Lenovo A369i (Black) http://t.co/VuGdsthlaN via @,http://twitter.com/trendyveer/statuses/581066561730920448,TWITTER,,,,Neutral,,
108,RT @Lenovo_in Your love for the A6000 is reflected in 3 words- Out of Stock! Thank you for leaving us speechless yet again. http://t.co/ygHEzjRPMz,http://twitter.com/s_anuj/statuses/581059975914483712,TWITTER,,,,Neutral,,
109,RT @androidadvices Lenovo A6000 Smartphone Review  http://t.co/ieMXWdR85U @Lenovo_in http://t.co/dBy4zisE7o,http://twitter.com/KitawatDiveek72/statuses/581057685866450946,TWITTER,,,,Neutral,,
110,Lenovo A269i (Black) at Rs 3210 - http://t.co/AWARw4PHsi,http://twitter.com/Dealsmasti/statuses/581035825661644800,TWITTER,,,,Neutral,,
111,"@Lenovo_in In lenovo a6000 notifications in various apps like WhatsApp, etc only come when i open the app or when i lock the app. Any soln?",http://twitter.com/kushagramahajan/statuses/581034471392026624,TWITTER,Post-sales,No,Product Attributes (Software),Neutral,Enquiry,
112,Lenovo A369i (Yellow) at Rs 3199 - http://t.co/IMSNn6orcB,http://twitter.com/Dealsmasti/statuses/581032418410270720,TWITTER,,,,Neutral,,
113,Your love for the A6000 is reflected in 3 words- Out of Stock! Thank you for leaving us speechless yet again. http://t.co/ygHEzjRPMz,http://twitter.com/Lenovo_in/statuses/581024505016913920,TWITTER,,,,Neutral,,
114,RT @Lenovo_in Your love for the A6000 SALE is reflected in 3 words- Out of Stock! Thank you for leaving us speechless yet again. http://t.co/HbaNGLyFDw,http://twitter.com/nimishdubey/statuses/581023910872756224,TWITTER,,,,Neutral,,
115,Your love for the A6000 SALE is reflected in 3 words- Out of Stock! Thank you for leaving us speechless yet again. http://t.co/HbaNGLyFDw,http://twitter.com/Lenovo_in/statuses/581023790525632512,TWITTER,,,,Neutral,,
116,Lenovo A369i (Black) Smart Phone Deal price Rs1999 http://t.co/nXbGke4zZw,http://twitter.com/chandramcr/statuses/581006374496141312,TWITTER,,,,Neutral,,
117,"@Sandeepmangate1 We will get back to you with an exciting offer for A6000, Keep following us for more updates on the same!",http://twitter.com/Lenovo_in/statuses/580997615233290241,TWITTER,,,,Neutral,,
118,Lenovo A369i (Black) Smart Phone Deal price Rs1999 http://t.co/nAOtmE5gtP,http://twitter.com/chandramcr/statuses/580996871750987776,TWITTER,,,,Neutral,,
119,Lenovo S90 super selfie smartphone for snapping and sharing!  http://t.co/F03kru9pQp,http://twitter.com/itVARnews/statuses/580993366864719873,TWITTER,,,,Neutral,,
120,@enchantedkisser Please call on these toll free numbers for your smartphone related issues: 1800 3000 7678 / 18601803425.,http://twitter.com/Lenovo_in/statuses/580986290704818179,TWITTER,,,,Neutral,,
121,"Lenovo introduces powerful P70 and stylish S90 smartphones in Saudi Arabia: Lenovo, the world's No.1 PC Compan... http://t.co/l1MzK6eA6m",http://twitter.com/DIGG_IT_INDIA/statuses/580982645661650944,TWITTER,,,,Neutral,,
122,@Lenovo_in i buyed a6000 it is good and bcoz of my words 32 phones was booked from my collegues and relatives,http://twitter.com/vanjarameshbabu/statuses/580977268920487936,TWITTER,Post-sales,No,Experience ,Positive,Praise,
123,@Lenovo_in a perfect balance between weight & Battery like Lenovo a6000 #TalkToLenovo,http://twitter.com/GabbarYogesh/statuses/580973871274168321,TWITTER,Post-sales,No,"Product Attributes, Experience",Positive,Praise,
124,@Lenovo_in hi i am not impressed with my new a6000 hangs a lot and looses wifi even when ur standing in front f the router plz help,http://twitter.com/enchantedkisser/statuses/580968410412023808,TWITTER,Post-sales,No,"Product Attributes, Experience",Neutral,Complaint,
125,Which feature would you want in your perfect phone and why? Get creative with some fun answers. #TalkToLenovo http://t.co/MyUOJKA9h7,http://twitter.com/Lenovo_in/statuses/580968159437418497,TWITTER,,,,,,
126,"@Lenovo_VIBE In lenovo a6000 notifications in various apps like WhatsApp, etc only come when i open the app or when i lock the app.Any soln?",http://twitter.com/kushagramahajan/statuses/580966357337935872,TWITTER,,,,,,
127,RT @tech_erina #Techerina #Lenovo A7000 Expected to #Launch in #India on April 7th http://t.co/dzZnqIb171 #lenovoa7000 #mobile,http://twitter.com/nabin_dust/statuses/580946620910415872,TWITTER,Pre-sales,No,"Pricing, Product Attributes",Neutral,Other (About upcoming product launch),
128,Lenovo A7000  http://t.co/vZYslk4C24,http://twitter.com/purviyadav84/statuses/580941835910008834,TWITTER,NA,NA,Product Attributes,Neutral,Review,
129,Lenovo A6000 phone at only ‰â_6999/- Link: http://t.co/J7cC9Lu62p #Flipkart #DealoftheDay #TodaysDeal #LenovoA6000 #LenovoIN #Flipkartoffers,http://twitter.com/80Velle/statuses/580927572264939521,TWITTER,,,,,,
130,"Buy Lenovo A6000 for Rs 6,999 without any registration   visit http://t.co/d1dKGQLEe0   - http://t.co/HLKTK852MU",http://twitter.com/BaniyaDeals/statuses/580904515425021953,TWITTER,,,,,,
